OBJECTID,FID_,Country,ISO,COUNTRYAFF,AFF_ISO,Country_1,ISO_2,ISO_3,SPI,BNeeds,FWellB,Opport,Nut_BMC,H2O_Sani,Shelter,Per_Safe,Know_Acc,Info_Acc,Health,Enviro_Q,Rght_Per,Free_Cho,Tol_Incl,Ed_Acc,Under_N,Food_Def,Mortal_M,Mortal_C,D_Infect,H2O_pipe,H2O_Rur,Sani_Acc,Hous_Aff,Elec_Acc,Elec_Qal,HH_Air_D,Homicide,Crim_Vio,Crim_Per,Pol_Terr,Traff_D,Literacy,Enroll_P,Enroll_S,Enroll_G,Phone,Inet,Free_Prs,Li_Ex_60,D_Non_C,Suicide,D_O_Air,H2O_Trt,Biodev,Gr_Gas,Rght_Pol,Free_Exp,Free_Asb,Pri_Prop,Free_Cho1,Free_Rel,Marr_E,Contrac,Corrupt,Tol_Imm,Tol_Gay,Disc_Min,Tol_Rel,Safe_Net,SchYrsT,SchYrsW,Ed_Ineq,Uni_Rank,Uni_RPct,FoodDefC,AdLitC,Ed_Sec_C,Ed_Sec_G,PhoneC,GGasC,UniRankB,UniRPctB,Shape__Area,Shape__Length
144,0,Swaziland,SZ,Swaziland,SZ,Swaziland,SZ,SWZ,52.64,58.2,54.78,44.93,66.53,54.67,45.58,66.04,80.84,52.05,32.74,53.48,33.21,65.38,57.56,23.56,26.8,192.0,389.054962307,60.7,887.479436733,37.28,68.8599119,57.4674509,,42.0,3.97,183.775287587,17.4,2.5,3.0,2.5,24.2,87.47,79.74,66.02809,0.99327,73.20000716,30.38270066,52.37,15.97015,939.5,31.0962816,95.624325331,3.7,52.93,340.98,1.0,7, ,40.00,0.606764716964,4.0,0.07,79.0,43.0,0.547975675946,0.179796576003,3.4,3.0,0.83714974636,0.08,10.0,0.27,0,0.0,192.0,87.47,66.02809,0.00673,73.20000716,340.98,0,0,15147818307.8306,502904.443411392
122,0,Tanzania,TZ,Tanzania,TZ,Tanzania,TZ,TZA,50.21,47.45,61.35,41.84,69.96,23.51,34.52,61.8,68.75,55.34,59.09,62.21,50.86,55.35,43.03,18.13,32.1,238.0,398.132838901,48.7,425.588173675,12.59,45.549329,15.5503829,0.32018946141,15.3,2.94,141.077779699,7.9,3.0,3.0,3.0,32.9,80.36,78.05,32.25608,0.91493,75.85579688,5.355144064,28.65,16.37101,451.2,11.141164578,58.970943792,1.44,94.34,665.78,25.0,9,0.56,25.00,0.77346190651,3.0,0.2,54.9,32.0,0.509028375021,0.089940269545,5.4,3.0,0.63775591198,0.03,7.06,0.28,0,0.0,238.0,80.36,32.25608,0.08507,75.85579688,665.78,0,0,774648545644.402,4553095.6140701
245,0,Togo,TG,Togo,TG,Togo,TG,TGO,48.21,49.4,55.86,39.37,78.44,19.68,31.84,67.65,64.63,52.3,53.77,52.73,46.98,51.37,47.65,11.49,11.4,75.0,368.243687877,78.4,480.922602583,5.47,44.2149449,11.6186388,0.406740301272,31.46256, ,181.331683416,9.2,3.0,3.0,1.5,31.1,66.54,97.46,54.70859,0.52893,67.70803859,7.12,30.31,15.54873,524.2,14.156305406,87.730609812,0.0,71.34,668.99,18.0,9, ,30.00,0.715364537428,4.0,0.16,34.3,32.0,0.691460372338,0.0705122486125,4.8,4.0,0.504565853819,0.13,4.19,0.39,0,0.0,75.0,66.54,54.70859,0.47107,67.70803859,668.99,0,0,47139124547.9522,1436932.57782736
222,0,Uganda,UG,Uganda,UG,Uganda,UG,UGA,49.59,52.5,57.17,39.11,73.94,36.78,36.58,62.68,68.0,48.55,54.92,57.21,41.77,47.99,36.93,29.77,25.5,172.0,343.133206749,54.6,449.792545987,5.02,75.8429033,19.0777634,0.385555875543,18.16256,3.37,158.840918448,11.8,3.0,3.0,3.0,27.4,73.81,84.49,26.09937,0.89103,50.37278848,19.22109963,32.58,17.32204,560.1,15.87466395,102.246750612,0.42,93.61,523.17,11.0,9,0.51,25.00,0.731907843761,2.0,0.23,46.9,25.0,0.410052121954,0.33415749999,9.0,2.0,0.753540213744,0.08,6.16,0.29,1,0.267141133724,172.0,73.81,26.09937,0.10897,50.37278848,523.17,1,4,198344632394.483,2141826.07999035
123,0,Zambia,ZM,Zambia,ZM,Zambia,ZM,ZMB,,48.01,,45.05,57.74,36.23,32.8,65.25,,56.58,47.08,54.89,49.63,60.36,48.54,21.69,47.8,405.0,224.236443014,64.0,666.306412314,15.75,51.3353673,43.8709003,0.486836118192,22.06256,2.51,187.194708269,5.8,3.0,3.0,3.0,24.7,85.12,89.04,,,74.47177776,21.0,35.08,17.69023,725.1,22.316614923,89.234323241,4.2,97.06,895.08,23.0,10,0.48,30.00,0.785137744368,3.0,0.19,65.9,38.0,0.557340115562,0.093363689037,5.4,3.0,0.760661097894,0.04,7.75,0.22,0,0.0,405.0,85.12,,,74.47177776,895.08,0,0,628020526078.462,4906749.10361489
124,0,Zimbabwe,ZW,Zimbabwe,ZW,Zimbabwe,ZW,ZWE,50.1,51.31,60.78,38.21,63.66,44.62,42.66,54.28,81.6,56.95,49.44,55.15,26.09,56.31,43.77,26.66,33.4,259.0,443.31382427,70.7,648.149324115,27.51,67.3031511,36.8312138,0.560794598295,40.46256,2.31,138.87634268,6.7,3.0,5.0,3.0,28.2,86.87,90.75,47.57019,0.97947,84.78880444,16.36,40.41,17.77401,493.0,30.793491169,64.519647276,0.0,94.31,1050.12,12.0,8,0.17,10.00,0.72561944064,3.0,0.26,85.1,22.0,0.573940262922,0.0814490454989,7.5,3.0,0.767200318443,0.03,10.2,0.17,0,0.0,259.0,86.87,47.57019,0.02053,84.78880444,1050.12,0,0,331936456307.795,2606683.15306759
231,0,Algeria,DZ,Algeria,DZ,Algeria,DZ,DZA,65.41,78.15,77.09,40.98,95.01,81.23,70.58,65.77,93.31,67.65,77.81,69.59,36.21,60.11,38.58,29.0,5.0,20.0,139.620784295,25.5,45.2342208061,77.01,81.799891,87.5958003,0.165352358424,100.0,4.04,0.3712722446,1.5,2.0,4.0,3.0,23.8,79.61,98.82,99.86019,1.03655,106.3843412,38.2,41.69,21.82973,307.4,2.749809573,46.327497694,45.0933333319,61.62,380.96,11.0,7, ,25.00,0.562599472121,2.0,0.02,74.9,34.0,0.486528407934,0.20578399626,7.9,2.0,0.740472390352,0.46,7.74, ,1,0.033353134689,20.0,79.61,99.86019,0.03655,100.0,380.96,1,1,2074191639703.8,6848872.00478077
69,0,Bahrain,BH,Bahrain,BH,Bahrain,BH,BHR,,,79.28,49.25,,99.74,87.45,71.6,96.97,77.38,73.08,69.69,27.24,66.93,51.94,50.91,,,15.1811907812,6.2,26.456208891,100.00,100.0,99.1976325,0.578464485975,97.69783,6.16,0.2442855475,0.5,2.0,4.0,3.0,8.0,95.72, ,99.37626,1.04025,185.2619572,93.47830114,54.86,19.65775,269.7,6.292919716,46.195441973,72.68,56.54,619.51,2.0,2, ,60.00,0.878952700257,2.0,0.04,58.1,43.0,0.746128836489,,7.9,3.0,0.8554466417,0.33,10.53, ,2,0.606642502763,,95.72,99.37626,0.04025,100.0,619.51,2,6,565007524.319336,170431.361599227
131,0,Comoros,KM,Comoros,KM,Comoros,KM,COM,,,63.93,39.15,,57.37,50.92,,77.65,50.24,59.63,68.2,53.42,40.27,50.22,12.7,,,335.231727916,73.5,282.481226168,38.03,89.1400412,35.8187305,0.395350910085,69.3, ,122.222944628,7.8,,,,21.8,78.14,85.13,60.35041,1.06831,55.16285786,7.459161386,24.33,16.30628,449.0,10.079776985,47.147439909,,68.38,397.93,24.0,10, ,30.00,0.533299519692,3.0,,34.0,24.0,0.652773431983,0.0800474882987,5.0,3.0,0.719217886207, ,6.03,0.48,0,0.0,,78.14,60.35041,0.06831,55.16285786,397.93,0,0,1426584121.4126,307815.610670404
217,0,Djibouti,DJ,Djibouti,DJ,Djibouti,DJ,DJI,,,46.41,32.44,80.42,53.66,,68.72,62.16,26.58,57.22,39.67,31.13,50.73,40.12,7.78,15.9,118.0,229.177475227,65.3,331.149896738,52.71,64.7067481,47.4339138,,53.26256, ,57.199213188,7.0,2.0,3.0,3.0,24.7, ,75.80,48.26956,0.82144,34.94105538,11.92243143,70.9,17.61151,575.3,11.85864312,90.744707268,0.0,39.2,1067.23,7.0,6, ,25.00,0.737244522331,3.0,,43.3,30.0,0.559623334589,0.0529362410074,6.7,3.0,0.630504268683, ,4.05,0.47,0,0.0,118.0, ,48.26956,0.17856,34.94105538,1067.23,0,0,17811688994.5615,723989.602789512
8,0,Egypt,EG,Egypt,EG,Egypt,EG,EGY,63.76,82.3,68.94,40.05,96.72,97.64,70.3,64.54,91.15,62.69,62.94,58.99,28.14,57.84,35.1,39.11,5.0,12.0,33.039633645,24.0,46.4708619801,99.34,98.9898282,94.7206705,0.279646094962,100.0,3.45,0.03666766304,3.2,3.5,3.0,4.0,12.8,75.84,99.59,86.10232,0.99455,110.9915544,37.81938343,54.45,17.41528,527.0,3.506469875,113.52263391,28.35,72.75,334.09,9.0,5,0.35,20.00,0.634780503056,1.0,0.14,80.3,34.0,0.447402307938,,9.0,2.0,0.808598493669,0.41,9.06,0.41,10,0.381551612597,12.0,75.84,86.10232,0.00545,100.0,334.09,4,4,883939814813.057,5287782.12708256
223,0,Iraq,IQ,Iraq,IQ,Iraq,IQ,IRQ,,70.17,57.35,,84.83,74.63,79.44,41.77,73.29,55.06,55.97,45.08,,48.2,28.33,37.79,22.8,185.0,49.5985625375,32.0,47.897535114,75.16,70.1335881,85.6108875,0.378965875597,100.0, ,1.929958853,7.9,5.0,5.0,5.0,20.2,79.72,92.31,53.45966,0.74856,93.82749352,17.22,54.35,18.27141,722.5,8.334538143,111.292046495,9.69296024065,34.64,554.02,12.0,5, , ,0.654099046653,2.0,0.19,60.0,17.0,0.522444445092,0.095090088634,9.8,1.0,0.718720881574,0.63,7.88,0.31,2,0.0,185.0,79.72,53.45966,0.25144,93.82749352,554.02,2,3,403295702455.181,3280676.65551003
225,0,Jordan,JO,Jordan,JO,Jordan,JO,JOR,69.85,85.38,74.6,49.56,97.2,93.5,81.38,69.43,92.68,70.64,73.29,61.8,44.56,64.17,40.28,49.25,5.0,13.0,57.7010856226,17.9,24.2653711323,91.00,92.2723035,98.6347428,0.389956055396,99.5,5.51,0.02989893915,2.3,2.0,3.0,3.0,26.3,98.01,96.76,82.44554,1.05764,179.4330122,53.4,44.49,19.15502,292.2,3.081863906,42.775148177,18.6,42.94,382.75,12.0,7,0.44,60.00,0.754297243109,2.0,0.07,60.6,48.0,0.512002301408,,7.7,2.0,0.818999948765,0.42,12.39,0.17,3,0.259709032774,13.0,98.01,82.44554,0.05764,100.0,382.75,2,4,81432045627.7402,1562883.63769347
71,0,Kuwait,KW,Kuwait,KW,Kuwait,KW,KWT,74.12,90.15,78.73,53.47,98.25,97.61,80.26,84.48,92.04,82.82,72.8,67.27,40.33,66.12,56.95,50.46,5.0,21.0,4.11794062668,8.6,41.0207307063, ,99.0003702,100.0,0.350792653394,97.69783,5.53,0.08910134852,1.8,1.0,2.0,2.0,18.7,96.12,99.47,94.97265,1.16453,231.7631947,82.07911476,32.59,17.87013,237.9,2.7325872,54.561870638,43.1,87.12,756.42,13.0,6, ,45.00,0.837783415364,2.0,0.05,63.5,41.0,0.697417942683,,5.2,3.0,0.84319221638,0.22,12.51, ,1,0.520505391023,21.0,96.12,94.97265,0.16453,100.0,756.42,1,5,15081470611.4023,745205.794806521
13,0,Lebanon,LB,Lebanon,LB,Lebanon,LB,LBN,66.31,75.94,75.65,47.35,98.22,87.06,63.48,55.0,83.74,78.14,72.06,68.67,50.22,58.29,34.06,46.83,5.0,29.0,14.9252250648,8.3,12.4973749679,77.12,98.9511374,80.6697332,0.328084340775,100.0,1.67,0.009509797394,4.3,3.5,5.0,3.0,22.6,94.05,84.71,61.20575,0.9918,92.16457338,74.0,31.95,18.88568,320.4,2.921501437,45.010619215,54.7014492754,43.86,330.77,14.0,11,0.66,20.00,0.646870301691,3.0,0.03,60.6,28.0,0.481596382668,0.119387623743,8.7,1.0,0.822264710627, ,11.39,0.24,4,0.103382486095,29.0,94.05,61.20575,0.0082,92.16457338,330.77,3,3,9506078052.10547,537583.275977329
235,0,Libya,LY,Libya,LY,Libya,LY,LBY,,,64.61,35.88,,,68.75,26.39,91.47,56.37,68.14,42.45,19.87,53.97,45.5,24.17,,,9.33135787264,13.4,40.7603890154, ,,96.5640929,0.345843336666,100.0,2.85,2.097070319,2.5,5.0,5.0,4.5,73.4,91.39, ,101.56349,1.17521,157.0029191,19.01607978,57.89,18.39187,382.9,5.033156776,79.605320934,9.6,24.72,921.35,3.0,4, ,10.00,0.816913518418,2.0,0.03,43.1,14.0,0.702946760649,,8.3,2.0,0.875236317768,0.83,6.27, ,0,0.0,,91.39,100.0,0.17521,100.0,921.35,0,0,1437084075318.4,5690977.48541964
209,0,Mauritania,MR,Mauritania,MR,Mauritania,MR,MRT,48.44,55.02,58.21,32.08,80.96,42.25,35.96,60.91,62.84,64.47,64.25,41.27,39.56,33.83,44.5,10.44,5.6,36.0,601.585166674,84.7,228.964467533,32.63,57.0982427,40.0052301,0.195157551674,21.76256,2.39,94.31404178,11.4,3.0,4.0,2.5,24.5,52.12,79.90,30.59811,0.92944,89.32065985,15.19912669,24.03,16.49223,356.0,7.358230505,92.770589981,0.0,42.92,990.97,9.0,9, ,25.00,0.431688824105,2.0,0.28,29.8,27.0,0.474123551244,0.0213287852871,7.2,4.0,0.770416069008,0.07,4.44,0.41,0,0.0,36.0,52.12,30.59811,0.07056,89.32065985,990.97,0,0,889702069737.776,5226143.18589856
196,0,Morocco,MA,Morocco,MA,Morocco,MA,MAR,65.25,77.43,73.19,45.12,94.54,66.43,80.84,67.92,81.66,72.33,68.44,70.34,45.36,64.54,43.3,27.27,5.0,31.0,121.317277966,27.6,57.2446555004,63.85,65.3102503,76.710707,0.435771880286,100.0,5.28,5.354066889,1.0,3.0,3.0,3.0,20.8,71.71,99.68,69.06295,0.85419,126.8723216,57.08,42.64,19.43024,380.3,7.972153981,41.588634485,5.4,91.1,318.76,15.0,7,0.55,40.00,0.786878396245,2.0,0.11,76.8,37.0,0.569974888721,0.0720698050594,7.4,4.0,0.65149055281,0.37,4.84,0.46,3,0.252656700904,31.0,71.71,69.06295,0.14581,100.0,318.76,2,4,605313232355.339,5544378.56985144
60,0,Oman,OM,Oman,OM,Oman,OM,OMN,,86.92,75.34,,97.2,85.51,86.44,78.53,96.26,77.73,75.4,51.98,37.12,62.61,,,5.0,33.0,17.1356889392,11.6,59.3477504031,74.38,86.1426972,96.743553,,97.69783,6.21,1.588367741,1.1,2.0,2.0,2.0,25.4,93.97,99.99,104.23327,1.06818,159.8605555,74.17416597,40.43,20.93728,319.7,3.563113569,62.797253486,5.42,48.68,740.74,8.0,5, ,55.00,0.910819262747,2.0,0.04,34.2,45.0,,,3.1,4.0,, ,8.19, ,1,0.0601353320677,33.0,93.97,100.0,0.06818,100.0,740.74,1,2,264739803175.492,3225230.80576465
72,0,Qatar,QA,Qatar,QA,Qatar,QA,QAT,,,82.26,55.45,,97.77,86.64,86.1,93.33,84.41,77.91,73.4,45.05,68.35,60.92,47.47,,,12.6342285333,8.0,17.1684323513,94.15,100.0,98.0184204,0.489820139833,97.69783,6.36,0.01205178251,7.2,1.0,2.0,1.5,15.2,97.76,94.96,109.41109,0.88937,159.1317177,92.88482645,35.97,21.28504,229.2,5.008480002,50.768459914,70.0,58.37,325.28,9.0,7, ,65.00,0.903133748237,2.0,0.18,62.3,61.0,0.796181885555,,4.6,4.0,0.840000759314,0.50,10.82, ,2,0.425034091725,,97.76,100.0,0.11063,100.0,325.28,2,4,9751998835.36523,487181.759774158
73,0,Saudi Arabia,SA,Saudi Arabia,SA,Saudi Arabia,SA,SAU,69.45,86.42,76.51,45.43,97.93,89.58,86.39,71.77,90.03,69.17,74.52,72.32,25.17,60.98,48.31,47.26,5.0,9.0,11.6142020562,14.5,47.9499724861,66.70,97.0341105,100.0,0.522741729268,97.69783,6.17,0.5569570021,6.2,1.0,3.0,3.0,27.4,94.84,99.24,108.28788,0.76473,176.5888132,69.6162358,59.72,18.71465,219.8,3.336500595,66.442904063,54.578,81.69,364.40,3.0,3, ,40.00,0.750544112813,1.0,0.04,50.5,46.0,0.802435881834,,7.5,2.0,0.882821980438,0.46,9.61, ,13,0.169545265024,9.0,94.84,100.0,0.23527,100.0,364.40,5,3,1681738517906.36,6767347.893067
61,0,Somalia,SO,Somalia,SO,Somalia,SO,SOM,,,,,,10.9903678894,,40.5988082886,,32.1634025574,50.3489952087,,,50.2510032654,,,,,731.883832352,136.8,756.475370144,20.37,8.792173,23.5396632,0.577518740804,32.70795, ,220.976793207,5.6,5.0,5.0,5.0,25.4, , ,7.35304,0.46047,52.46922266,1.76,65.35,16.33941,720.8,12.315786444,75.960188406,,20.91, ,0.0,3, , ,0.908505954014,3.0,0.22,45.3,10.0,0.552154570969,,9.4,2.0,0.59408190275, ,1.98,0.44,0,0.0,, ,7.35304,0.53953,52.46922266, ,0,0,523765838971.976,4897764.34481271
221,0,Sudan,SD,Sudan,SD,Sudan,SD,SDN,,49.88,48.65,,77.11,31.48,41.7,49.25,55.82,42.43,60.04,36.31,,27.78,28.38,12.38,24.3,176.0,310.852763467,70.1,119.890386122,24.33,50.1831999,23.6439834,0.252808858949,32.56256, ,104.591972195,6.5,4.0,4.0,5.0,24.3,58.60,54.75,42.69846,0.94512,70.52824566,26.61492855,72.53,17.8409,588.8,6.796483649,110.690260772,0.0,42.8,1127.11,2.0,2, , ,0.274023611806,2.0,0.24,32.2,14.0,0.302551490658,0.0675090407971,9.8,2.0,0.792463330323,0.14,5.67,0.43,0,0.0,176.0,58.60,42.69846,0.05488,70.52824566,1127.11,0,0,1561886678047.05,6538614.49267693
237,0,Tunisia,TN,Tunisia,TN,Tunisia,TN,TUN,71.09,84.0,77.26,51.99,97.54,89.22,77.51,71.73,91.41,74.24,72.72,70.68,71.74,62.6,36.92,36.71,5.0,3.0,62.0201992954,14.0,34.8578456963,82.01,93.2040547,91.5946671,0.28977594016,100.0,5.06,0.4147780601,3.1,2.0,3.0,2.5,24.4,81.05,99.68,88.20406,1.04599,129.9114626,48.51983599,31.6,19.65939,305.2,5.046130173,47.858146718,44.1,61.04,275.80,36.0,13,0.74,40.00,0.598496080418,2.0,0.02,73.0,41.0,0.611400107046,0.0419350889392,7.9,2.0,0.695146624838,0.52,9.1,0.35,2,0.193738860907,8.0,81.05,88.20406,0.04599,100.0,275.80,2,3,144736942310.25,2462005.18161166
74,0,United Arab Emirates,AE,United Arab Emirates,AE,United Arab Emirates,AE,ARE,,90.77,,56.12,98.38,93.44,90.35,80.92,,83.69,69.92,75.87,31.01,75.25,62.75,55.47,5.0,18.0,6.1003029542,6.8,49.7368125999,78.74,99.9900346,97.5571069,0.604667391442,97.69783,6.70,0.01763972932,0.7,1.0,3.0,2.5,10.9,92.99,99.51,,,187.3480233,91.24340578,36.73,20.09436,444.3,4.023204019,84.697030252,87.141,89.41,411.81,7.0,4,0.28,55.00,0.943274452111,3.0,0.07,58.5,66.0,0.905235905166,,3.6,3.0,0.845591098572,0.43,13.18, ,6,0.21117020937,18.0,92.99,,,100.0,411.81,3,4,61343222394.7354,1644425.30189887
66,0,Yemen,YE,Yemen,YE,Yemen,YE,YEM,43.46,54.24,52.03,24.11,78.31,43.73,45.72,49.22,64.66,43.2,53.42,46.85,26.64,41.2,23.28,5.31,26.1,182.0,385.155057003,41.9,94.740459371,40.44,46.5273772,53.3313763,0.513345531961,48.40671,1.22,71.101519279,6.7,3.0,5.0,5.0,21.5,69.96,85.69,48.62466,0.68814,67.98097332,25.0995144,67.07,16.36055,715.4,7.152081525,127.957598306,0.0,47.95,332.27,2.0,5, ,30.00,0.500826568645,2.0,0.17,49.7,14.0,0.293694335726,,9.5,1.0,0.770637444603,0.11,2.35,0.48,0,0.0,182.0,69.96,48.62466,0.31186,67.98097332,332.27,0,0,381655547611.227,3332768.48538753
75,0,Afghanistan,AF,Afghanistan,AF,Afghanistan,AF,AFG,35.66,42.65,38.0,26.34,72.74,29.33,22.92,45.63,53.37,47.61,29.37,21.64,37.4,38.97,22.25,6.73,26.8,173.0,396.137276828,91.1,183.614240086,12.17,46.975333,31.8529526,0.405244766329,43.0, ,251.916749403,6.6,5.0,5.0,4.5,15.5,38.17,85.13,55.64441,0.56238,61.57768158,8.26,37.75,15.97849,1442.5,10.205302533,232.481420971,0.0,21.25,544.79,10.0,6,0.60, ,0.454565007709,2.0,0.17,44.9,15.0,0.406950858078,0.0827398489341,8.6,1.0,0.547119212128,0.28,0.98,0.45,0,0.0,173.0,38.17,55.64441,0.43762,61.57768158,544.79,0,0,596750660752.522,4811823.28034684
180,0,Australia,AU,Australia,AU,Australia,AU,AUS,89.3,94.44,88.82,84.65,99.43,100.0,87.1,91.23,97.99,89.09,83.4,84.82,93.41,87.19,77.19,80.8,5.0,8.0,5.94881382022,3.8,12.8121162061, ,100.0,100.0,0.485864354633,100.0,6.36,0.0,1.0,1.0,2.0,1.5,5.4, ,99.92,137.56479,0.94602,132.8005094,84.56051935,17.84,25.46561,199.0,10.23825389,8.917784726,95.0,87.18,670.74,40.0,16,0.87,90.00,0.916217348264,4.0,0.01,82.3,79.0,0.83503835935,0.729569977311,4.1,3.0,0.936083345701,1.05,14.54,0.02,61,0.566811212222,8.0, ,100.0,0.05398,100.0,670.74,9,5,6790483132363.88,25575430.740587
68,0,Azerbaijan,AZ,Azerbaijan,AZ,Azerbaijan,AZ,AZE,65.33,82.66,73.83,39.5,96.18,76.97,82.4,75.1,98.42,71.83,65.66,59.42,18.4,48.17,39.9,51.53,5.0,12.0,25.06859726,31.7,41.8217971063,66.19,77.7506279,89.3490717,0.61380434547,100.0,5.11,17.06162293,2.5,2.0,3.0,3.0,10.0,99.81,98.84,,,111.2826317,77.0,57.89,18.72183,503.2,4.105244807,81.227911869,9.7298,75.83,469.46,4.0,2, ,20.00,0.647240334386,1.0,0.08,34.1,30.0,0.533406737599,0.0328032972257,6.7,2.0,0.757791292325, ,13.16,0.08,3,0.117838669227,12.0,99.00,,,100.0,469.46,2,3,160346673608.672,2750485.58636894
80,0,Bangladesh,BD,Bangladesh,BD,Bangladesh,BD,BGD,54.84,67.4,60.41,36.72,86.34,57.26,55.94,70.05,77.14,53.3,62.69,48.52,37.53,49.98,41.59,17.78,16.4,116.0,176.137551188,37.6,95.132047863,11.78,87.0333053,60.558993,0.778758810172,59.6,3.21,133.323040791,2.8,2.0,3.0,4.0,13.6,61.49,96.26,63.52453,1.12732,81.89932116,14.4,45.94,18.97048,515.1,9.620950732,133.17867415,0.0,63.77,376.07,20.0,7,0.37,20.00,0.817648867619,3.0,0.46,74.1,26.0,0.716005435874,0.357861751366,8.9,2.0,0.646492763905,0.16,5.09,0.39,1,0.0141895370959,116.0,61.49,63.52453,0.12732,81.89932116,376.07,1,1,120171015450.563,4302110.11217553
81,0,Bhutan,BT,Bhutan,BT,Bhutan,BT,BTN,,,71.63,47.48,,72.64,80.42,89.21,80.61,67.67,72.07,66.15,61.46,73.23,48.38,6.85,,,147.894825934,32.9,123.238057131,58.19,100.0,50.4003421,0.856441127384,75.56256,5.76,54.788793204,2.7,1.0,2.0,1.0,15.1,63.91,88.98,84.19769,1.06927,87.0290974,39.8,30.73,20.49252,337.2,7.184176502,83.368207561,0.0,96.34,168.22,28.0,9, ,60.00,0.809123477448,2.0,0.14,83.1,65.0,0.600270616505,0.163778698783,7.6,3.0,0.842102590433, ,3.23,0.45,0,0.0,,63.91,84.19769,0.06927,87.0290974,168.22,0,0,35451346445.3906,885902.884352305
